%time,field.header.seq,field.header.stamp,field.header.frame_id,field.hardware_id,field.mcu_uptime,field.connection_uptime,field.drivers_active,field.driver_external_stop_present,field.driver_external_stop_stopped,field.measured_battery,field.measured_12v,field.measured_5v,field.drive_current,field.user_current,field.computer_current,field.total_current,field.total_current_peak,field.total_power_consumed
1598045813659053101,0,1598045813664560810,base_link,0.3.9,5234000000000,0,1,0,0,27.2613220215,11.9690141678,5.02540016174,3.43212223053,0.77342402935,1.1074038744,5.31295013428,-1.0,-1.0
1598045814660783919,0,1598045814664560810,base_link,0.3.9,5235000000000,0,1,0,0,27.3969135284,11.9670686722,5.02088880539,1.08442175388,0.755699694157,1.17063057423,3.01075220108,-1.0,-1.0
1598045815657238574,0,1598045815659698814,base_link,0.3.9,5236000000000,0,1,0,0,27.2976551056,11.9709606171,5.02282190323,1.65805339813,0.783091843128,1.82971060276,4.27085590363,-1.0,-1.0
1598045816658879027,0,1598045816659698814,base_link,0.3.9,5237000000000,0,1,0,0,30.3504238129,13.3002023697,5.57966041565,1.91389584541,0.842053413391,1.35879957676,4.11474895477,-1.0,-1.0
1598045817666874669,0,1598045817660727036,base_link,0.3.9,5238000000000,0,1,0,0,27.3323173523,11.968495369,5.0241112709,1.71874666214,0.750746428967,1.13070261478,3.60019564629,-1.0,-1.0
1598045818662812476,0,1598045818660727036,base_link,0.3.9,5239000000000,0,1,0,0,27.2752056122,11.9689283371,5.02178382874,1.77961885929,0.835488915443,2.12223505974,4.73734283447,-1.0,-1.0
1598045819658919253,0,1598045819660727036,base_link,0.3.9,5240000000000,0,1,0,0,27.2820968628,11.9663333893,5.02106761932,1.77603816986,0.766262710094,1.18405866623,3.72635960579,-1.0,-1.0
1598045820660864997,0,1598045820661708957,base_link,0.3.9,5241000000000,0,1,0,0,27.2417259216,11.9736843109,5.02321577072,2.35611510277,0.766859412193,1.18791210651,4.31088638306,-1.0,-1.0
1598045821656827376,0,1598045821661708957,base_link,0.3.9,5242000000000,0,1,0,0,27.2752056122,11.968495369,5.02214193344,1.9335899353,0.765665948391,1.23341286182,3.93266868591,-1.0,-1.0
1598045822659463192,0,1598045822656723492,base_link,0.3.9,5243000000000,0,1,0,0,27.3195171356,11.9719552994,5.02124643326,1.81005501747,0.76984333992,1.1059513092,3.6858496666,-1.0,-1.0
1598045823660944244,0,1598045823656723492,base_link,0.3.9,5244000000000,0,1,0,0,27.2673282623,11.9671983719,5.02185535431,2.08988833427,0.740660905838,1.07392287254,3.90447211266,-1.0,-1.0
1598045824657272551,0,1598045824656723492,base_link,0.3.9,5245000000000,0,1,0,0,27.2781581879,11.9709606171,5.02233839035,1.90780878067,0.765904664993,1.43060779572,4.1043214798,-1.0,-1.0
1598045825658853614,0,1598045825663739125,base_link,0.3.9,5246000000000,0,1,0,0,27.1726989746,11.969792366,5.02298355103,2.59423303604,0.794370889664,1.636028409,5.02463245392,-1.0,-1.0
1598045826660799796,0,1598045826663739125,base_link,0.3.9,5247000000000,0,1,0,0,27.2116909027,11.9690141678,5.02072715759,3.45790362358,0.788462817669,1.48196291924,5.72832965851,-1.0,-1.0
