%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.x,field.pose.y,field.pose.theta,field.map
1598045789156379848,129630,1598045789156002760,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789176495192,129631,1598045789176136732,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789196591533,129632,1598045789196268082,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789236702692,129633,1598045789236408949,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789277218437,129634,1598045789276877403,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789317483413,129635,1598045789317128658,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789377946674,129636,1598045789377591372,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789418169088,129637,1598045789417822361,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789458614128,129638,1598045789458295584,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789478758774,129639,1598045789478399754,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789498981529,129640,1598045789498546362,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789539022190,129641,1598045789538742304,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789579523886,129642,1598045789579198837,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789619838577,129643,1598045789619389057,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789660132736,129644,1598045789659824610,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789720379786,129645,1598045789720067263,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789760801996,129646,1598045789760446548,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789780913621,129647,1598045789780540943,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789841060542,129648,1598045789840775013,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789881570655,129649,1598045789881245136,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789921823472,129650,1598045789921479702,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045789962246162,129651,1598045789961935759,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790002463397,129652,1598045790002133608,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790063037092,129653,1598045790062636852,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790083081554,129654,1598045790082728863,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790123233022,129655,1598045790122909784,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790183481758,129656,1598045790183279514,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790223579365,129657,1598045790223425627,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790263965226,129658,1598045790263746738,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790304212181,129659,1598045790303919077,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790364985683,129660,1598045790364524126,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790405106262,129661,1598045790404743195,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790425332302,129662,1598045790424857378,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790466021909,129663,1598045790465487719,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790526298525,129664,1598045790525795221,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790566776906,129665,1598045790566487551,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790606923605,129666,1598045790606678963,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790647279323,129667,1598045790647053003,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790667489874,129668,1598045790667143106,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790687648956,129669,1598045790687254429,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790727767741,129670,1598045790727530003,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790788180586,129671,1598045790787972689,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790828542692,129672,1598045790828166723,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790868852182,129673,1598045790868566036,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790909040291,129674,1598045790908753395,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790969480755,129675,1598045790969230890,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045790989593376,129676,1598045790989317894,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791029778486,129677,1598045791029504538,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791090381679,129678,1598045791090091705,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791130549452,129679,1598045791130274057,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791170991287,129680,1598045791170632601,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791211049908,129681,1598045791210794926,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791231441176,129682,1598045791230911732,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791251725551,129683,1598045791251058817,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791291840570,129684,1598045791291572332,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791332102106,129685,1598045791331765890,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791372385309,129686,1598045791372090340,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791432647762,129687,1598045791432348013,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791473060493,129688,1598045791472776651,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791513236431,129689,1598045791512971878,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791533391623,129690,1598045791533129692,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791553604657,129691,1598045791553227663,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791594003681,129692,1598045791593632460,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791634152339,129693,1598045791633832693,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791674524984,129694,1598045791674232483,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791734872685,129695,1598045791734532833,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791775323816,129696,1598045791775032520,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791815480447,129697,1598045791815188885,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791835643680,129698,1598045791835323572,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791855705385,129699,1598045791855420589,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791896219258,129700,1598045791895860910,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791936279924,129701,1598045791936041117,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045791976672853,129702,1598045791976374626,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792036947783,129703,1598045792036632299,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792077305444,129704,1598045792077042341,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792117548558,129705,1598045792117228746,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792137628154,129706,1598045792137344837,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792157755096,129707,1598045792157461882,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
