30.2879620414,-97.7377243817
30.2879350559,-97.7376821415
30.2878193292,-97.737676701
30.2877574858,-97.7372962733
30.2877132001,-97.7370193851
30.2875390435,-97.7370257684
30.2873492611,-97.7370511781
30.2873856193,-97.7375812138
30.2874445823,-97.7383355041
30.2874865961,-97.7388699725
30.2874627237,-97.7390918549
30.2874250922,-97.739234531
30.2873756902,-97.7393145891
30.2869653394,-97.7393618821
30.2864704963,-97.7394195128
30.2864722446,-97.7396349889
30.2864716315,-97.7398314481
30.2862418506,-97.7398969972
30.2859788702,-97.7399635878
30.2859267095,-97.7399889431
30.2857906865,-97.740089523
30.2855771126,-97.7401094425
30.2855517331,-97.7397367644
30.2855427874,-97.7394419011
30.2855722345,-97.7394437725
