%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1602701737834599462,2147,1602701737834599462,,30.2879545528,-97.7377098078,-0.0031560882926
1602701737894228530,2148,1602701737894228530,,30.2879547249,-97.7377096352,0.0131106097251
1602701737935049443,2149,1602701737935049443,,30.2879546599,-97.7377091293,0.02347275801
1602701737975381227,2150,1602701737975381227,,30.2879545988,-97.7377086225,0.0329856574535
1602701737995481275,2151,1602701737995481275,,30.2879545988,-97.7377086225,0.0329856574535
1602701738015229632,2152,1602701738015229632,,30.2879545427,-97.7377081172,0.0430078208447
1602701738055695878,2153,1602701738055695878,,30.2879544827,-97.737707613,0.040799587965
1602701738095610117,2154,1602701738095610117,,30.2879544196,-97.7377071056,0.0355333983898
1602701738137392154,2155,1602701738137392154,,30.2879544196,-97.7377071056,0.0355333983898
1602701738177423743,2156,1602701738177423743,,30.2879543527,-97.7377066016,0.0277194678783
1602701738237855085,2157,1602701738237855085,,30.2879543711,-97.7377062038,0.0216619446874
1602701738278266931,2158,1602701738278266931,,30.2879542131,-97.7377052002,0.00382537394762
1602701738298595309,2159,1602701738298595309,,30.2879542131,-97.7377052002,0.00382537394762
1602701738359108386,2160,1602701738359108386,,30.2879541303,-97.7377047001,-0.00738602131605
1602701738399125223,2161,1602701738399125223,,30.2879540424,-97.7377041974,-0.0180876776576
1602701738440915180,2162,1602701738440915180,,30.2879540424,-97.7377041974,-0.0180876776576
1602701738480892899,2163,1602701738480892899,,30.2879539497,-97.7377036965,-0.0294693037868
1602701738520722893,2164,1602701738520722893,,30.2879539187,-97.7377031634,-0.0416886769235
1602701738581502996,2165,1602701738581502996,,30.2879536879,-97.7377021772,-0.0727751255035
1602701738601591258,2166,1602701738601591258,,30.2879536879,-97.7377021772,-0.0727751255035
1602701738642199302,2167,1602701738642199302,,30.2879535691,-97.7377016844,-0.088573217392
1602701738702249345,2168,1602701738702249345,,30.2879535691,-97.7377016844,-0.088573217392
1602701738743061353,2169,1602701738743061353,,30.287953443,-97.7377011933,-0.10437130928
1602701738783115689,2170,1602701738783115689,,30.2879533106,-97.7377007052,-0.120508909225
1602701738824164920,2171,1602701738824164920,,30.2879531712,-97.7377002196,-0.136307001114
1602701738864274912,2172,1602701738864274912,,30.287953025,-97.7376997343,-0.151765584946
1602701738924208185,2173,1602701738924208185,,30.287952517,-97.7376992105,-0.170164644718
1602701738944629739,2174,1602701738944629739,,30.2879523565,-97.7376987317,-0.185792505741
